rainfall,slope,road_quality,visibility,traffic,historical_incidents,road_type,elevation,temperature,wind_speed,risk
1.27,17.21,3.82,11.55,0.35,2,state_highway,799.3,23.5,21.0,LOW
4.57,4.71,4.29,7.24,0.502,0,national_highway,480.7,27.2,8.8,LOW
0.0,9.92,3.96,6.06,0.488,0,state_highway,395.3,30.1,26.6,LOW
3.31,22.4,1.29,9.19,0.569,3,rural_hill_road,1215.6,14.0,18.8,HIGH
16.37,4.24,4.59,1.34,0.185,0,national_highway,507.8,24.6,23.6,LOW
5.33,2.5,2.16,4.65,0.411,2,state_highway,372.6,26.2,30.9,MEDIUM
0.0,2.65,4.16,10.44,0.568,0,national_highway,1217.3,23.5,19.9,LOW
0.0,1.88,4.31,9.41,0.76,0,national_highway,379.8,24.4,37.8,LOW
1.17,15.56,2.27,9.1,0.129,1,rural_hill_road,1858.2,19.1,20.8,MEDIUM
6.7,2.65,4.04,3.77,0.632,0,state_highway,498.4,17.8,13.6,LOW
0.0,10.59,3.91,1.07,0.353,2,national_highway,1391.6,22.0,28.3,MEDIUM
7.7,9.47,4.28,1.52,0.555,1,national_highway,1337.4,17.4,22.0,LOW
0.0,9.98,2.86,10.82,0.762,5,rural_hill_road,2053.1,15.5,17.1,MEDIUM
0.0,9.88,3.8,6.79,0.258,0,state_highway,1123.0,19.6,11.8,LOW
2.86,22.87,2.94,8.93,0.517,3,rural_hill_road,1431.7,21.6,19.4,HIGH
0.0,22.01,2.76,12.0,0.239,1,rural_hill_road,2237.8,20.1,23.8,HIGH
0.0,11.45,1.81,7.56,0.173,4,state_highway,658.5,23.2,32.2,MEDIUM
1.43,5.55,3.64,11.82,0.103,1,national_highway,450.0,23.3,3.3,LOW
0.11,9.22,3.81,8.03,0.095,0,national_highway,572.6,25.0,1.0,LOW
8.06,7.7,4.8,1.82,0.74,1,national_highway,599.4,20.8,11.3,MEDIUM
0.0,4.94,4.27,7.25,0.191,2,national_highway,1415.7,17.3,9.3,LOW
12.33,9.13,4.63,4.96,0.695,2,national_highway,315.5,28.6,8.4,MEDIUM
0.0,0.62,3.91,9.15,0.401,2,national_highway,620.5,29.2,38.3,LOW
0.0,2.92,1.63,12.0,0.318,1,state_highway,991.1,24.8,10.4,LOW
0.0,1.48,4.62,10.81,0.245,1,national_highway,177.1,31.4,7.6,LOW
6.57,1.15,4.86,4.86,0.282,2,national_highway,734.9,24.5,20.1,LOW
0.0,19.61,3.91,6.97,0.308,1,rural_hill_road,1895.9,17.3,23.7,MEDIUM
0.0,15.02,4.8,6.7,0.633,2,state_highway,695.2,29.6,20.7,LOW
4.74,17.52,3.52,9.06,0.379,2,state_highway,809.4,22.7,12.5,MEDIUM
3.33,7.61,4.42,9.16,0.492,0,national_highway,1027.2,21.0,14.0,LOW
1.8,9.18,4.99,10.26,0.25,0,national_highway,101.4,21.2,30.4,LOW
0.0,8.09,2.63,2.81,0.319,2,rural_hill_road,2504.1,12.1,2.0,MEDIUM
